127.0.0.1 - - [15/Oct/2024:11:45:21 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:45:28 +0900] "GET /Skt HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:45:28 +0900] "GET /Skt/ HTTP/1.1" 200 20550
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:45:28 +0900] "GET /menubar%20footer/menubar.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:45:28 +0900] "GET /Skt/mainPage.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:45:28 +0900] "GET /Skt/views/common/img/logo_1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:45:28 +0900] "GET /Skt/views/common/img/login_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:45:28 +0900] "GET /Skt/content02.js HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:45:28 +0900] "GET /Skt/views/mbti/img/banner.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:45:28 +0900] "GET /Skt/mainPage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:45:30 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:45:31 +0900] "GET /Skt/festivalIntro.mp HTTP/1.1" 200 16907
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:45:31 +0900] "GET /Skt/touristRankTwo.mp HTTP/1.1" 200 15809
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:45:31 +0900] "GET /Skt/touristRank.mp HTTP/1.1" 200 15809
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:45:31 +0900] "GET /Skt/resource/festival/images%20(2).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:45:31 +0900] "GET /Skt/resource/festival/images%20(24).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:45:31 +0900] "GET /Skt/resource/festival/images%20(3).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:45:31 +0900] "GET /Skt/resource/festival/images%20(4).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:45:31 +0900] "GET /Skt/resource/tourThumb/pictures%20(3).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:45:31 +0900] "GET /Skt/resource/tourThumb/pictures%20(1).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:45:31 +0900] "GET /Skt/resource/tourThumb/pictures%20(2).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:45:31 +0900] "GET /Skt/resource/tourThumb/pictures%20(4).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:45:35 +0900] "GET /Skt/intoRegister.co HTTP/1.1" 200 12365
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:45:35 +0900] "GET /Skt/views/common/css/footer.css HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:45:35 +0900] "GET /Skt/resource/footerLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:45:35 +0900] "GET /Skt/views/member/css/memberEnrollForm.css HTTP/1.1" 200 3761
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:45:42 +0900] "GET /Skt/idCheck.me?checkId=test02 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:46:32 +0900] "POST /Skt/insert.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:46:32 +0900] "GET /Skt HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:46:32 +0900] "GET /Skt/ HTTP/1.1" 200 20550
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:46:32 +0900] "GET /menubar%20footer/menubar.css HTTP/1.1" 404 840
